1,2,3,4,5,6,7,8,9
1,152U,61015AN,24299.69419,0.00002025,00000-0,10481-2,0,9992
2,152,66.5956,46.9784,158565,245.1255,113.3278,14.10656435,
1,00154U,61015AQ,24298.84388,0.00001103,00000-0,70641-3,0,9993
2,154,66.658,225.576,76273,65.4688,295.4324,14.05672261,
1,154U,61015AQ,24299.83997,0.00001079,00000-0,69258-3,0,9990
2,154,66.658,223.0686,76316,64.7241,296.1727,14.05674681,
1,155U,61015AR,24298.82141,0.00007922,00000-0,21825-2,0,9990
2,155,66.8783,76.5003,38439,355.4696,4.6058,14.46861807,
1,00155U,61015AR,24298.82141,0.00007922,00000-0,21825-2,0,9990
2,155,66.8783,76.5003,38439,355.4696,4.6058,14.46861807,
1,158U,61015AU,24299.7426,0.00000215,00000-0,68119-3,0,9990
2,158,67.073,303.7463,614753,248.0296,105.4323,12.65929883,
1,00159U,61015AV,24298.87381,0.00000309,00000-0,88345-3,0,9996
2,159,65.524,121.8326,362023,26.2998,335.5914,13.02726853,2643
1,00163U,61018A,24298.65926,-0.00000005,00000-0,-23107,0,9998
2,163,91.0996,179.6081,99094,94.3366,266.8836,8.91836034,60478
1,00172U,61015AY,24298.87586,0.00000825,00000-0,11548-2,0,9990
2,172,67.0662,102.0697,132412,133.1648,228.0575,13.5866026,
1,172U,61015AY,24299.53837,0.00000865,00000-0,12065-2,0,9996
2,172,67.0663,100.5543,132376,132.6899,228.5406,13.58661627,
1,177U,61015BB,24299.74676,0.00000744,00000-0,40929-3,0,9993
2,177,66.65,295.0592,105615,151.6641,209.025,14.1435253,
1,00178U,61015BC,24298.64833,0.00000243,00000-0,24069-3,0,9994
2,178,66.8677,28.3486,73419,62.4777,298.374,13.92818098,
1,178U,61015BC,24299.65363,0.00000224,00000-0,22654-3,0,9998
2,178,66.8677,25.8927,73460,61.7078,299.139,13.92818608,
1,00192U,61028A,24298.79144,0.0000002,00000-0,10631-1,0,9999
2,192,95.8568,97.4311,137609,195.5572,164.1026,8.67771474,
1,00195U,61028D,24298.80345,0.00000006,00000-0,47155-2,0,9994
2,195,95.8725,78.6301,122958,290.8462,67.9259,8.65615822,
1,00202U,61031A,24298.82191,0.00000105,00000-0,99954-4,0,9990
2,202,32.4362,129.2768,101313,334.24,25.32,13.63699768,
1,00204U,61031C,24298.88334,0.00000138,00000-0,13946-3,0,9994
2,204,32.4406,190.9132,98217,62.7217,298.3369,13.65009923,
1,205U,61031B,24299.65951,0.00000102,00000-0,99492-4,0,9993
2,205,32.4407,274.7659,101840,108.5788,252.5924,13.62517396,
1,00210U,61015BE,24298.68387,0.00001458,00000-0,12772-2,0,9996
2,210,66.4588,46.7,48458,323.4467,36.3303,13.87982982,
1,210U,61015BE,24299.69265,0.00001502,00000-0,13134-2,0,9993
2,210,66.4589,44.2146,48555,322.8549,36.9169,13.87986253,
1,223U,61015BK,24299.82731,0.00000115,00000-0,15512-3,0,9998
2,223,66.8914,335.2244,64624,27.5777,332.8705,13.88885208,
1,00224U,61015BL,24298.84517,0.00002243,00000-0,12806-2,0,9994
2,224,66.7359,233.8286,57918,97.7009,294.7684,14.1061497,
1,225U,61015BM,24298.58635,0.0000364,00000-0,12069-2,0,9990
2,225,66.8005,31.3358,108724,306.4002,52.7108,14.35619099,
1,226U,62002A,24299.84051,0.00000708,00000-0,23337-3,0,9999
2,226,48.2958,203.0086,77142,302.6431,56.7042,14.46646005,
1,228U,62002C,24298.81508,0.00026385,00000-0,12205-2,0,9998
2,228,48.4215,186.59,11068,211.0868,148.9409,15.19823122,
1,00228U,62002C,24298.81508,0.00026385,00000-0,12205-2,0,9998
2,228,48.4215,186.59,11068,211.0868,148.9409,15.19823122,
1,00230U,61015BN,24298.75984,0.00000412,00000-0,33925-3,0,9994
2,230,66.8828,84.6867,99627,247.3079,111.7447,13.96548544,
1,230U,61015BN,24299.54761,0.00000417,00000-0,34281-3,0,9999
2,230,66.8829,82.7511,99606,246.7783,112.2786,13.96549263,
1,00233U,61015BR,24298.84482,0.00059754,00000-0,58377-2,0,9995
2,233,66.8391,90.351,28120,214.956,144.9725,14.91719817,
1,233U,61015BR,24298.84482,0.00059754,00000-0,58377-2,0,9995
2,233,66.8391,90.351,28120,214.956,144.9725,14.91719817,
1,233U,61015BR,24299.78345,0.00053426,00000-0,52139-2,0,9994
2,233,66.8392,87.6537,27833,214.0269,145.9078,14.91813953,
1,00234U,61015BS,24298.88393,0.00000756,00000-0,51998-3,0,9999
2,234,66.8763,214.467,74580,209.9329,149.7483,14.03422256,
1,234U,61015BS,24299.81037,0.00000749,00000-0,51544-3,0,9990
2,234,66.8763,212.1641,74501,209.2623,150.4281,14.03423968,
1,235U,61015BT,24299.83102,0.00000926,00000-0,50407-3,0,9995
2,235,66.9559,335.2913,156088,65.3985,296.3277,14.10418113,
1,00243U,61015BY,24298.77184,0.00002992,00000-0,20726-2,0,9996
2,243,66.4639,75.9673,23350,126.6382,233.685,14.00219744,
1,243U,61015BY,24299.55753,0.0000293,00000-0,20310-2,0,9998
2,243,66.4639,73.9921,23272,126.0399,234.2843,14.00224006,
1,244U,61015BZ,24299.61944,0.00000463,00000-0,39082-3,0,9992
2,244,66.8402,262.6407,67113,155.6915,204.7357,13.95357934,
1,245U,61015CA,24299.75693,0.00002837,00000-0,14418-2,0,9995
2,245,66.1047,304.878,53388,200.0483,159.8507,14.16662413,
1,00246U,61015CB,24298.84395,0.00000068,00000-0,12189-3,0,9993
2,246,66.8691,202.0706,68163,202.0115,157.8032,13.86024453,
1,00252U,61015CD,24298.89069,0.00000674,00000-0,74220-3,0,9990
2,252,67.0774,163.7465,58857,279.8719,169.8922,13.77252727,
1,252U,61015CD,24299.90848,0.00000692,00000-0,76080-3,0,9995
2,252,67.0773,161.3452,58850,279.1934,176.1074,13.77254356,
1,253U,61015CE,24299.71004,0.00035616,00000-0,40628-2,0,9996
2,253,66.92,302.3695,25367,226.9296,132.971,14.85707829,
1,261U,61015CH,24299.73755,0.00000425,00000-0,32803-3,0,9993
2,261,66.6792,108.1666,85154,21.6094,338.8547,14.00652832,
1,00264U,61015CL,24298.62171,0.00007969,00000-0,28522-2,0,9995
2,264,66.5281,33.0838,16004,91.5485,268.7447,14.34372311,
1,00271U,62010A,24298.76522,-0.00000006,00000-0,-21254,0,9998
2,271,86.667,43.0879,328163,47.1719,315.6276,9.413063381,
1,309U,62025A,24299.82369,0.00001099,00000-0,21542-3,0,9998
2,309,58.0897,261.1057,189333,158.4221,202.4924,14.59205137,
1,00312U,62025C,24298.64959,0.00007615,00000-0,12746-2,0,9998
2,312,58.2486,63.2257,193895,221.586,137.0287,14.58949416,
1,00318U,61015CU,24298.84276,0.00058952,00000-0,27733-2,0,9998
2,318,66.5363,155.0922,31065,127.2485,233.1498,15.18793845,
1,00320U,61015CW,24298.83207,0.00001017,00000-0,39975-3,0,9993
2,320,66.9043,161.5597,129849,126.618,234.6945,14.2871529,
1,00323U,61015CZ,24298.82843,0.00000937,00000-0,50800-3,0,9996
2,323,66.8392,185.5856,78046,173.7052,186.504,14.15248279,
1,323U,61015CZ,24299.88847,0.00000996,00000-0,53747-3,0,9996
2,323,66.839,182.8945,77975,172.8719,187.3502,14.15250888,
1,00324U,61015DA,24298.66884,0.00001858,00000-0,10334-2,0,9995
2,324,66.8653,108.1893,62188,114.4136,246.3461,14.12245665,
1,00325U,61015DB,24298.88165,0.0000232,00000-0,10836-2,0,9999
2,325,66.9154,201.0071,53773,132.0389,228.5302,14.21323659,
1,00327U,61015DD,24298.78251,0.00000806,00000-0,67651-3,0,9995
2,327,66.5432,69.1578,111479,165.4314,195.0021,13.90451343,
1,329U,61015DF,24299.86747,0.00000314,00000-0,45084-3,0,9996
2,329,66.7818,338.9612,110580,31.6035,141.6338,13.65833632,
1,330U,61015DG,24299.55418,0.00002601,00000-0,16346-2,0,9998
2,330,66.9824,354.7339,55457,213.8106,145.9441,14.05151002,
1,00333U,61015DK,24298.71859,0.00019052,00000-0,30252-2,0,9991
2,333,66.7082,45.4227,37175,26.227,334.0721,14.7170032,
1,333U,61015DK,24299.67,0.00016591,00000-0,26355-2,0,9992
2,333,66.7081,42.7619,37328,25.3727,334.9214,14.71730857,
1,00334U,61015DL,24298.84539,0.00000119,00000-0,14951-3,0,9997
2,334,66.9242,204.5468,79654,181.0702,179.0221,13.91577577,
1,334U,61015DL,24299.85159,0.00000111,00000-0,14380-3,0,9991
2,334,66.9242,202.0995,79573,180.3409,179.7631,13.91577982,
1,00335U,61015DM,24298.87792,0.00003311,00000-0,15524-2,0,9992
2,335,66.841,230.8318,45740,255.8004,103.8007,14.20789294,
1,00336U,61015DN,24298.8235,0.00000233,00000-0,34332-3,0,9994
2,336,67.029,153.8808,81561,209.0177,246.1268,13.68942008,
1,336U,61015DN,24299.90241,0.00000271,00000-0,38621-3,0,9999
2,336,67.0291,151.3661,81476,208.2502,163.2007,13.68942941,
1,00337U,61015DP,24298.8781,0.00001054,00000-0,11194-2,0,9990
2,337,67.0078,260.0657,104347,328.7171,30.7718,13.75707971,
1,00341U,62029B,24298.86131,-0.00000112,00000-0,-55911,0,9999
2,341,44.7869,256.1961,2417736,143.4608,271.8914,9.14274877,80216
